popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
100,5,0,0.69,0.69,0.79,0.65,0.76,-0.1549019599857432,-0.1549019599857432,-0.09691001300805638,-0.18045606445813128,-0.11350927482751812
100,5,1,0.78,0.63,0.85,0.72,0.84,-0.10237290870955855,-0.19382002601611278,-0.06550154875643228,-0.13667713987954408,-0.07058107428570727
100,5,2,0.77,0.66,0.89,0.69,0.78,-0.10790539730951958,-0.17392519729917352,-0.045757490560675115,-0.1549019599857432,-0.10237290870955855
100,5,3,0.8,0.73,0.91,0.72,0.82,-0.09151498112135022,-0.1307682802690238,-0.03621217265444471,-0.13667713987954408,-0.0809219076239261
100,5,4,0.91,0.77,0.9,0.77,0.85,-0.03621217265444471,-0.10790539730951958,-0.040958607678906384,-0.10790539730951958,-0.06550154875643228
100,5,5,0.91,0.82,0.95,0.8,0.89,-0.03621217265444471,-0.0809219076239261,-0.017728766960431602,-0.09151498112135022,-0.045757490560675115
100,5,6,0.87,0.85,0.91,0.83,0.85,-0.05551732784983136,-0.06550154875643228,-0.03621217265444471,-0.07572071393811836,-0.06550154875643228
100,5,7,0.92,0.84,0.97,0.84,0.93,-0.031517051446064856,-0.07058107428570727,-0.00877392430750515,-0.07058107428570727,-0.026872146400301312
100,5,8,0.91,0.86,0.96,0.93,0.89,-0.03621217265444471,-0.06048074738138147,-0.013228265733755159,-0.026872146400301312,-0.045757490560675115
100,5,9,0.95,0.89,0.97,0.9,0.88,-0.017728766960431602,-0.045757490560675115,-0.00877392430750515,-0.040958607678906384,-0.0506099933550872
100,5,10,0.93,0.89,0.98,0.92,0.86,-0.026872146400301312,-0.045757490560675115,-0.004364805402450088,-0.031517051446064856,-0.06048074738138147
100,5,11,0.91,0.9,0.95,0.92,0.94,-0.03621217265444471,-0.040958607678906384,-0.017728766960431602,-0.031517051446064856,-0.02227639471115225
100,5,12,0.91,0.91,0.94,0.94,0.96,-0.03621217265444471,-0.03621217265444471,-0.02227639471115225,-0.02227639471115225,-0.013228265733755159
100,5,13,0.97,0.95,0.98,0.97,0.93,-0.00877392430750515,-0.017728766960431602,-0.004364805402450088,-0.00877392430750515,-0.026872146400301312
100,5,14,0.96,0.9,0.98,0.97,0.91,-0.013228265733755159,-0.040958607678906384,-0.004364805402450088,-0.00877392430750515,-0.03621217265444471
100,5,15,0.97,0.9,0.98,0.97,0.94,-0.00877392430750515,-0.040958607678906384,-0.004364805402450088,-0.00877392430750515,-0.02227639471115225
100,5,16,0.97,0.87,0.98,0.94,0.93,-0.00877392430750515,-0.05551732784983136,-0.004364805402450088,-0.02227639471115225,-0.026872146400301312
100,5,17,0.97,0.9,1.0,0.95,0.92,-0.00877392430750515,-0.040958607678906384,0.004321373782642578,-0.017728766960431602,-0.031517051446064856
100,5,18,0.94,0.89,1.0,0.94,0.91,-0.02227639471115225,-0.045757490560675115,0.004321373782642578,-0.02227639471115225,-0.03621217265444471
100,5,19,0.95,0.86,1.0,0.91,0.9,-0.017728766960431602,-0.06048074738138147,0.004321373782642578,-0.03621217265444471,-0.040958607678906384
100,5,20,1.0,0.86,0.99,0.92,0.93,0.004321373782642578,-0.06048074738138147,0.0,-0.031517051446064856,-0.026872146400301312
100,5,21,0.99,0.87,0.97,0.95,0.94,0.0,-0.05551732784983136,-0.00877392430750515,-0.017728766960431602,-0.02227639471115225
100,5,22,0.98,0.86,1.0,0.95,0.92,-0.004364805402450088,-0.06048074738138147,0.004321373782642578,-0.017728766960431602,-0.031517051446064856
100,5,23,0.98,0.87,1.0,0.96,0.93,-0.004364805402450088,-0.05551732784983136,0.004321373782642578,-0.013228265733755159,-0.026872146400301312
100,5,24,0.98,0.87,1.0,0.97,0.94,-0.004364805402450088,-0.05551732784983136,0.004321373782642578,-0.00877392430750515,-0.02227639471115225
100,5,25,0.97,0.88,0.99,0.96,0.88,-0.00877392430750515,-0.0506099933550872,0.0,-0.013228265733755159,-0.0506099933550872
100,5,26,0.97,0.92,1.0,0.98,0.9,-0.00877392430750515,-0.031517051446064856,0.004321373782642578,-0.004364805402450088,-0.040958607678906384
100,5,27,0.97,0.93,1.0,0.99,0.94,-0.00877392430750515,-0.026872146400301312,0.004321373782642578,0.0,-0.02227639471115225
100,5,28,0.98,0.94,1.0,0.97,0.99,-0.004364805402450088,-0.02227639471115225,0.004321373782642578,-0.00877392430750515,0.0
100,5,29,1.0,0.95,1.0,0.99,0.99,0.004321373782642578,-0.017728766960431602,0.004321373782642578,0.0,0.0
