generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,42.8233333333,6.45333333333,9.47666666667,-5.97666666667,-6.97,15.9,50.57,7.79666666667,-16.0033333333,-3.36666666667,-1.02,-4.41,45.1833333333,-5.23333333333,-1.93,1.41333333333,1.89333333333,13.8266666667,46.7066666667,9.15333333333,-2.55333333333,3.66333333333,7.03,-5.39333333333,44.3833333333,8357.65764771,6855.05801561,11266.6516276,9590.86567447,10657.902107,11508.2107023,7125.5970903,9269.4267447,9990.40467113,10941.0289855,8753.09658863,11431.4467224,8517.77564103,8817.11594203,9659.03521739,8583.94229654,9779.88824972,9085.073534,6555.42537347,10572.9864437,9478.74296544,10393.7558417,9648.23655518,9625.0554738,8015.47463768
1,58.4,10.9666666667,11.32,-14.3533333333,-2.12333333333,31.6766666667,54.7433333333,6.88666666667,-22.0066666667,-9.03333333333,3.52,-4.88333333333,63.4733333333,-9.19,-6.46,5.57,6.61,13.0433333333,55.9066666667,7.69,-5.04,4.98333333333,11.0766666667,-11.16,57.1833333333,8174.5819398,5914.78818283,8798.49926421,10233.520223,9693.4596544,11329.784738,8870.25162765,8344.54229654,8284.08022297,11353.9052397,8274.83906355,10420.8258082,7282.39059086,8176.06745819,9763.88133779,7376.90812709,8805.53635452,9254.83089186,5191.79727982,10626.2614381,8857.1890301,12485.5482163,8004.37871795,8378.30207358,7142.80574136
2,63.66,17.9,18.08,-6.58666666667,-4.7,32.7133333333,68.15,3.83333333333,-19.2633333333,-5.06,9.14,-8.04666666667,67.91,-2.23333333333,-6.69333333333,10.0566666667,8.46666666667,11.9533333333,60.3966666667,8.52666666667,-10.04,11.91,14.3533333333,0.723333333333,68.1,8997.24856187,5714.44481605,8779.26448161,8897.65467113,9530.77257525,9624.15835006,8570.99080268,7884.67447046,7608.80333333,10793.3676254,7550.93016722,8693.20851728,7284.45006689,7650.80156076,9436.78189521,6636.23423634,9508.1761427,8345.64329989,4843.38393534,10448.2701895,8389.83785953,12409.9283278,8132.79112598,8103.47169454,7421.24080268
3,64.8733333333,19.73,17.8233333333,-5.86,-11.2733333333,33.58,81.32,3.62333333333,-20.2466666667,-5.22333333333,10.5933333333,-3.24666666667,68.4033333333,-0.736666666667,-6.13666666667,6.78666666667,7.05666666667,11.4433333333,64.32,18.08,-6.88333333333,6.00666666667,15.7666666667,3.83333333333,74.6966666667,10038.686243,4489.66264214,8098.09911929,8155.69270903,8929.89828317,9505.57551839,8811.85712375,8685.34594203,6229.41052397,10302.6489521,6064.65681159,9315.0961427,6677.67958751,7973.27824972,8391.19530658,6231.80717949,9657.9867447,8339.4783835,4426.29859532,10469.6323746,8266.16360089,12988.8628317,8808.09921962,8061.99219621,8031.09497213
4,70.5133333333,17.54,18.03,-3.23,-12.7133333333,44.48,87.1,1.73666666667,-23.7333333333,7.13,5.41,-10.67,77.8166666667,-5.80333333333,6.52,7.75,4.06666666667,14.73,68.0866666667,17.3033333333,-17.3666666667,12.73,17.0833333333,5.11333333333,85.9366666667,9650.55835006,4938.67063545,8419.08605351,7120.60578595,8805.44931996,9559.46113712,8947.48160535,8249.17122631,6439.34671126,9643.28404682,5457.20591973,7862.00779264,6301.91610925,7888.43276477,7396.95946488,5436.37541806,9069.08584169,8168.76632107,4404.16637681,9450.52641026,8903.66443701,14077.2479264,7362.77898551,8523.49881828,7670.22005574
5,75.23,23.0666666667,26.9833333333,-2.03666666667,-14.8633333333,40.7366666667,98.62,7.69333333333,-17.47,11.6666666667,16.5933333333,-14.6,82.7033333333,-10.04,8.06666666667,-1.25333333333,12.8133333333,16.04,67.9033333333,11.39,-15.0633333333,5.72,12.33,6.3,97.29,11148.6994314,4875.19286511,8287.85590858,7409.4267447,8374.1183835,10329.0173802,9205.49391304,8319.95246377,6157.54090301,8205.73467113,5389.00463768,7896.08026756,6410.04881828,8609.83785953,7614.36343367,5338.8586845,9371.43661093,8574.03852843,4355.67958751,10394.4728094,9076.6815942,13869.6738462,7602.84391304,7514.22408027,7528.9022408
6,85.7466666667,26.2266666667,24.5466666667,-2.11333333333,-8.96333333333,37.16,93.6266666667,9.73,-20.6866666667,20.7033333333,16.6933333333,-19.9866666667,89.1033333333,-10.9133333333,13.8933333333,-8.22333333333,10.77,7.18,66.6133333333,20.46,-16.39,17.3633333333,13.4266666667,5.89333333333,100.043333333,10114.229922,4257.35982163,7176.60316611,8775.17105909,7010.02206243,10963.4525753,8337.65948718,8347.70946488,7008.50350056,7897.83477146,4796.26015608,6731.50483835,6512.70835006,9176.86871795,7636.46350056,5409.59209588,9233.37501672,7750.56949833,3676.5322631,8921.11879599,9174.22531773,14273.0280825,6645.17520624,7076.15580825,7586.23557414
7,82.7333333333,24.81,29.9533333333,-1.55,0.66,31.99,100.84,13.69,-21.5766666667,23.1233333333,16.0533333333,-20.56,93.1233333333,-8.56333333333,11.9333333333,-8.72,9.96666666667,8.13,70.45,21.1733333333,-14.5,19.7433333333,14.8666666667,9.78666666667,107.36,10584.2430323,3693.24471572,7168.51286511,7765.86036789,6846.53284281,11439.1336789,7906.42247492,8482.16110368,7805.35530658,8800.05497213,4900.09079153,6927.4980602,6590.33590858,8987.082932,8773.94871795,5041.95478261,9483.92530658,7314.88939799,3183.75334448,8267.00664437,10084.2040134,13739.4021293,5920.51059086,6789.39246377,8585.3348495
8,87.7466666667,22.8266666667,23.9,-3.13666666667,9.62,36.9066666667,100.546666667,18.13,-12.17,17.56,17.0966666667,-21.6,94.88,-6.15666666667,18.71,-7.54333333333,3.88666666667,2.91666666667,76.8766666667,23.7633333333,-13.2733333333,30.4966666667,13.13,4.85333333333,111.163333333,9254.0961427,3590.46483835,6096.97324415,8160.80065775,5451.93538462,11719.8039688,8036.91085842,8138.72886288,7435.27869565,8380.96294314,4183.14447046,6692.32107023,6045.95210702,9594.90179487,7674.89555184,5140.33590858,8862.37507246,7242.7990524,3822.24895206,7838.72975474,10019.8915942,13160.5852731,5953.25729097,6908.62724638,9421.8093534
9,96.3866666667,22.3766666667,25.8466666667,-0.253333333333,7.05,42.3466666667,104.47,13.4466666667,-10.33,16.7433333333,17.33,-21.2466666667,91.65,-2.09,7.05,-18.35,-0.193333333333,-1.12333333333,79.6933333333,31.5266666667,-11.9933333333,27.6433333333,16.23,10.0833333333,113.283333333,8738.18443701,3961.31918618,5641.3677146,7654.99246377,5804.32190635,12104.7824303,7884.22317726,7510.63594203,6759.20511706,8023.18139353,5202.65662207,7189.66470457,5596.5493311,9363.68083612,8430.83695652,6076.21488294,8320.83875139,6634.25564103,3328.86216276,6810.01600892,9336.66216276,12811.681728,5786.1241806,7189.21376812,10363.6819955
