generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
10,118.216666667,25.1266666667,45.69,-12.9066666667,0.596666666667,79.3933333333,100.56,3.16666666667,-24.16,-1.85666666667,48.8833333333,4.95666666667,123.55,-27.0133333333,7.91666666667,5.07333333333,29.9433333333,3.28,110.11,-45.11,16.05,-27.7266666667,-3.0,17.3833333333,125.346666667,8962.93952062,6786.92035674,15206.6360201,6720.77386845,8335.10433668,5782.15915273,8711.53819398,6077.04236343,6167.87397993,7229.02620959,4245.73550725,5254.73055741,3967.55936455,6089.71888517,7778.77229654,4675.78055741,8518.24092531,7231.07852843,6166.27214047,13232.0915385,8887.27842809,9797.97186176,5912.66220736,4979.46125975,6263.95968785
11,126.96,23.1466666667,57.48,-19.02,0.0333333333333,76.4566666667,103.943333333,5.25,-21.3666666667,-0.963333333333,50.6733333333,8.29,123.5,-24.2766666667,10.1633333333,8.70333333333,33.0366666667,-0.306666666667,112.063333333,-41.7333333333,14.8033333333,-30.5066666667,-2.34666666667,20.5966666667,125.38,8110.79438127,6750.54028986,15560.2972575,6537.01632107,9478.83500557,5336.2422631,7921.16400223,6353.74665552,6600.09921962,6946.57724638,4788.42136009,5684.66812709,3931.91638796,6377.92654404,8507.90299889,4769.58727982,8063.52707915,6882.87554069,5871.75182832,12505.8885173,8393.95115942,9576.60530658,5726.09346711,4271.87356745,5441.74140468
12,133.273333333,26.3233333333,64.5766666667,-23.7866666667,6.01,73.9033333333,108.676666667,12.3666666667,-25.76,0.0866666666667,51.2,7.94,133.076666667,-23.53,9.12333333333,10.8466666667,32.7466666667,1.78,114.34,-41.01,11.3433333333,-28.4333333333,-5.66333333333,22.19,129.043333333,7880.48691193,7223.81818283,16668.1981159,6530.11487179,9916.89956522,6494.05416945,6997.20948718,5029.0490524,6350.88535117,6766.05266444,5156.67558528,5091.0064214,4600.01751394,6644.96565217,7712.75731327,4918.49146042,7941.09279822,6943.47652174,5912.70675585,14494.203913,8333.98540691,9099.61092531,5132.11035674,3926.55575251,5632.32253066
13,135.546666667,21.6233333333,68.41,-26.5633333333,18.94,67.02,106.893333333,17.1166666667,-27.7333333333,2.61,48.6066666667,6.06666666667,139.776666667,-20.1366666667,9.96666666667,9.79,32.4666666667,-3.21666666667,115.003333333,-42.2466666667,9.76666666667,-35.5866666667,-10.7266666667,19.3633333333,122.453333333,8060.13493868,7186.20881828,15809.0253177,6104.65483835,10512.1569231,6500.58822742,6297.03875139,4817.80908584,6978.12263099,6679.69688963,5719.18925307,4756.95875139,4747.90647715,6050.3725641,7929.09587514,5372.11963211,8227.54069119,6984.61845039,5258.33778149,13117.0024972,7274.52731327,8087.48744705,4410.03206243,4136.14513935,4656.67005574
14,142.3,25.8966666667,69.73,-28.3466666667,19.5566666667,74.6433333333,114.056666667,12.6233333333,-30.2866666667,7.72666666667,56.4733333333,15.77,140.476666667,-18.3333333333,8.00333333333,5.87666666667,28.24,-0.36,113.686666667,-38.5033333333,9.80666666667,-35.8233333333,-13.1533333333,19.8833333333,119.116666667,7602.64548495,7073.30366778,16609.1208361,6031.08343367,9100.12052397,6293.48774805,5616.54192865,4784.08172798,7057.12156076,6523.40329989,9183.9290524,4668.16431438,5305.45430323,5537.31995541,9843.18059086,5329.67370123,8894.03585284,7797.63585284,5077.73426979,12849.889621,6720.16316611,8049.34995541,4805.72222965,4173.70875139,4557.22714604
15,143.47,30.73,66.66,-29.6766666667,19.0366666667,76.0433333333,113.25,15.9133333333,-30.4466666667,5.11666666667,57.2833333333,23.6633333333,135.906666667,-17.84,2.01666666667,4.08333333333,22.72,-0.406666666667,108.77,-39.5466666667,11.4566666667,-42.4166666667,-12.5266666667,17.5166666667,118.096666667,7124.37033445,7189.72953177,17296.2251505,5824.78139353,9277.19931996,6033.97470457,5444.26170569,4601.54430323,7510.0406243,7075.92948718,9462.00306577,4611.58861761,5398.74042363,5547.98100334,10279.0130992,6082.5983835,9588.73070234,8183.06483835,5688.92685619,14743.1182163,6405.29911929,7644.93952062,4925.32704571,4262.35758082,4062.04079153
16,144.396666667,32.3466666667,63.9466666667,-33.5233333333,18.5533333333,74.1733333333,114.34,21.59,-16.7033333333,2.68666666667,56.3766666667,22.23,140.976666667,-14.49,0.373333333333,10.2233333333,25.4866666667,0.24,109.466666667,-40.39,13.5466666667,-33.8566666667,-12.7933333333,18.1166666667,119.29,7248.07289855,8532.54831661,16890.4988183,5870.97269788,8362.54229654,5356.22403567,5419.73016722,5053.09220736,7916.59731327,8123.81453735,9516.56333333,4330.75294314,6152.96600892,5440.44471572,10550.7430992,6109.14393534,10201.7155407,8247.63451505,5319.16610925,14960.6601003,6919.36570792,9736.37738016,4998.71299889,4339.02647715,4994.40056856
17,146.75,39.8133333333,67.6166666667,-37.9966666667,14.4866666667,66.4433333333,112.333333333,25.8266666667,-20.6466666667,6.65666666667,58.1733333333,22.7633333333,148.553333333,-13.6066666667,0.6,9.58666666667,30.6933333333,1.16333333333,112.066666667,-44.59,20.7133333333,-33.25,-8.77666666667,11.8766666667,125.206666667,7633.17809365,8798.90818283,16998.5515608,6256.15717949,8040.75232999,5472.82286511,6075.21962096,4829.76918618,8760.83794872,6916.73457079,11228.8327313,4227.37189521,6783.0239019,5879.93841695,11195.2173913,6523.48744705,9736.76851728,8199.26754738,5292.3567447,13862.5236455,7528.0780825,10499.0443144,4917.19744705,4131.18540691,4440.88691193
18,139.996666667,35.4633333333,55.65,-33.47,5.12666666667,68.5466666667,117.963333333,19.73,-8.6,-2.05666666667,55.8766666667,18.7466666667,151.596666667,-12.5566666667,-5.63333333333,5.17333333333,26.7,6.28333333333,122.97,-42.0233333333,16.51,-33.1566666667,-9.72333333333,15.99,123.406666667,7654.82607581,8546.07557414,16365.1914716,6503.7616388,8912.59928651,5182.2954738,5574.4100223,4699.91013378,7251.70568562,6162.49510591,11678.1151728,4772.77172798,6688.44212932,5028.842932,11625.8383501,7099.983233,9881.01337793,8670.58500557,5016.50411371,11282.036243,7741.79588629,10654.6409253,4189.69911929,3867.16712375,4446.57654404
19,147.353333333,46.0433333333,56.7133333333,-37.2166666667,5.9,69.9333333333,125.76,22.5733333333,-6.23,-1.74333333333,54.4066666667,22.4,148.72,-11.0266666667,-2.64,3.50666666667,30.12,11.3666666667,130.41,-54.91,18.99,-36.6666666667,-11.2133333333,13.27,126.953333333,7530.00851728,8792.90447046,18452.1182163,6116.00975474,9687.7826087,5022.98550725,5262.05591973,4053.1283835,6139.96364548,6528.80681159,10547.9544705,4905.33110368,6009.07183946,5398.20664437,11091.5154515,7437.26082497,9932.18622074,8922.83500557,5709.35976589,10567.6407023,7251.30759197,9647.29319955,4158.64329989,3399.68939799,4580.86069119
