generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
10,66.5,37.5,-8.75,4.5,110.75,137.0,180.25,28.25,18.75,-32.5,53.3,41.6,59.75,-17.55,-5.95,-87.4,66.3,102.9,97.8,-20.1,42.0,-58.2,91.3,-87.8,85.1,417.631578947,19.7368421053,123.355263158,8375.52631579,734.407894737,3.15789473684,8133.35526316,3083.88157895,15.9868421053,177.631578947,3147.37894737,41728.0421053,2157.56578947,441.313157895,2690.99736842,4897.72631579,2841.69473684,9943.25263158,1047.74736842,16765.1473684,1239.15789474,3562.27368421,2397.48421053,2123.32631579,3364.93684211
11,71.1,38.5,-11.25,25.1,116.85,136.8,190.4,22.0,19.2,-34.0,36.45,85.9,68.85,-12.95,-21.9,-64.4,63.4,118.1,85.85,-72.8,37.05,-60.3,88.3,-81.45,87.8,283.989473684,13.4210526316,83.8815789474,5695.35789474,499.397368421,2.69473684211,6940.46315789,2631.57894737,13.6421052632,151.578947368,2084.15526316,28128.2,1420.97631579,298.155263158,1878.51578947,5351.83157895,4019.09473684,12972.9368421,941.502631579,13026.3789474,1635.41842105,3813.16842105,2743.58947368,2686.47105263,3351.01052632
12,75.7,39.5,-13.75,45.7,122.95,136.8,190.4,22.0,19.2,-34.0,36.45,85.9,68.85,-12.95,-21.9,-95.8,60.5,113.1,99.65,-27.5,17.85,-83.1,64.7,-56.75,92.5,105.8,5.0,31.25,2121.8,186.05,2.69473684211,6940.46315789,2631.57894737,13.6421052632,151.578947368,2084.15526316,28128.2,1420.97631579,298.155263158,1878.51578947,3563.74736842,2257.42105263,9251.46315789,1132.34473684,15156.7894737,2623.71315789,3685.25263158,3135.37894737,3864.61842105,2272.57894737
13,78.0,40.0,-15.0,56.0,126.0,136.6,200.55,15.75,19.65,-35.5,41.05,63.1,63.8,-15.3,-16.75,-89.4,40.2,154.45,89.8,-59.9,18.15,-90.3,58.9,-57.1,89.45,0.0,0.0,0.0,0.0,0.0,2.14736842105,5530.68157895,2097.03947368,10.8710526316,120.789473684,2299.62894737,35304.2,1780.58947368,374.221052632,2180.19736842,1704.46315789,1115.43157895,6397.10263158,945.957894737,14557.9894737,2582.97631579,3002.22105263,2627.56842105,3751.46315789,1808.57631579
14,78.0,40.0,-15.0,56.0,126.0,137.0,180.25,28.25,18.75,-32.5,44.1,87.2,69.85,-12.85,-16.25,-101.4,48.9,132.1,98.5,-20.3,24.45,-89.3,60.65,-61.75,88.95,0.0,0.0,0.0,0.0,0.0,3.15789473684,8133.35526316,3083.88157895,15.9868421053,177.631578947,2909.14736842,28345.6421053,1470.76578947,299.818421053,2265.98684211,1820.67368421,1141.98947368,6715.88421053,998.157894737,16817.2736842,2422.68157895,2872.95789474,2424.45,3297.67105263,1587.10263158
15,78.0,40.0,-15.0,56.0,126.0,137.2,170.1,34.5,18.3,-31.0,31.85,108.7,73.9,-10.6,-27.05,-114.1,59.05,107.55,107.95,15.65,33.6,-62.8,81.85,-59.9,107.25,0.0,0.0,0.0,0.0,0.0,3.53684210526,9109.35789474,3453.94736842,17.9052631579,198.947368421,1824.13421053,19857.8,1007.67368421,210.463157895,1520.99736842,1682.72631579,1104.36578947,6300.99736842,931.944736842,15275.5026316,2422.98947368,4856.37894737,3699.39736842,2626.72631579,2171.25
16,78.0,40.0,-15.0,56.0,126.0,136.8,190.4,22.0,19.2,-34.0,31.85,108.7,73.9,-10.6,-27.05,-110.1,56.15,115.0,105.05,2.45,39.6,-54.6,89.4,-64.2,109.8,0.0,0.0,0.0,0.0,0.0,2.69473684211,6940.46315789,2631.57894737,13.6421052632,151.578947368,1824.13421053,19857.8,1007.67368421,210.463157895,1520.99736842,1784.62105263,1175.18684211,6696.63157895,989.944736842,15888.2605263,2112.25263158,4920.25263158,3617.93684211,2264.16842105,2321.43157895
17,78.0,40.0,-15.0,56.0,126.0,137.0,180.25,28.25,18.75,-32.5,34.9,132.8,79.95,-8.15,-26.55,-108.0,51.8,121.6,102.8,13.4,18.75,-69.1,72.85,-40.85,115.35,0.0,0.0,0.0,0.0,0.0,3.15789473684,8133.35526316,3083.88157895,15.9868421053,177.631578947,2492.72631579,10585.6421053,569.207894737,111.818421053,1617.62894737,1616.84210526,849.852631579,5608.67368421,849.852631579,17607.4105263,3194.40789474,5520.2,4501.81842105,2942.55526316,1705.71315789
18,78.0,40.0,-15.0,56.0,126.0,137.2,170.1,34.5,18.3,-31.0,30.3,155.6,85.0,-5.8,-31.7,-124.0,63.4,91.8,114.4,66.2,34.65,-56.7,86.4,-57.85,112.5,0.0,0.0,0.0,0.0,0.0,3.53684210526,9109.35789474,3453.94736842,17.9052631579,198.947368421,2217.69473684,64.0421052632,37.8947368421,0.378947368421,1209.69473684,1077.89473684,566.568421053,3739.11578947,566.568421053,11738.2736842,2483.50263158,5187.06315789,3952.04210526,2511.81842105,2167.10526316
19,78.0,40.0,-15.0,56.0,126.0,137.2,170.1,34.5,18.3,-31.0,30.3,155.6,85.0,-5.8,-31.7,-128.0,66.3,84.35,117.3,79.4,33.6,-62.8,81.85,-59.9,107.25,0.0,0.0,0.0,0.0,0.0,3.53684210526,9109.35789474,3453.94736842,17.9052631579,198.947368421,2217.69473684,64.0421052632,37.8947368421,0.378947368421,1209.69473684,858.947368421,451.484210526,2979.60789474,451.484210526,9353.93684211,2422.98947368,4856.37894737,3699.39736842,2626.72631579,2171.25
