popsize,genenumber,generationnumber,diversity,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
20,5,0,0.9,0.65,0.6,0.8,0.6,0.75,-0.1549019599857431,-0.1870866433571444,-0.07058107428570722,-0.1870866433571444,-0.09691001300805638
20,5,1,0.9,0.8,0.6,1.0,0.75,0.7,-0.07058107428570722,-0.1870866433571444,0.021189299069938092,-0.09691001300805638,-0.12493873660829993
20,5,2,0.95,1.0,0.3,0.9,0.75,0.85,0.021189299069938092,-0.4559319556497244,-0.0222763947111522,-0.09691001300805638,-0.045757490560675115
20,5,3,0.85,1.0,0.4,0.95,0.7,0.9,0.021189299069938092,-0.34678748622465627,0.0,-0.12493873660829993,-0.0222763947111522
20,5,4,0.85,0.95,0.45,1.0,0.65,0.85,0.0,-0.30102999566398114,0.021189299069938092,-0.1549019599857431,-0.045757490560675115
20,5,5,0.9,0.85,0.35,1.0,0.6,0.75,-0.045757490560675115,-0.3979400086720376,0.021189299069938092,-0.1870866433571444,-0.09691001300805638
20,5,6,0.85,0.85,0.5,0.95,0.65,0.8,-0.045757490560675115,-0.2596373105057561,0.0,-0.1549019599857431,-0.07058107428570722
20,5,7,0.85,0.9,0.55,0.95,0.7,0.8,-0.0222763947111522,-0.22184874961635626,0.0,-0.12493873660829993,-0.07058107428570722
20,5,8,0.7,0.95,0.8,0.85,0.8,0.95,0.0,-0.07058107428570722,-0.045757490560675115,-0.07058107428570722,0.0
20,5,9,0.8,1.0,0.85,0.85,0.8,1.0,0.021189299069938092,-0.045757490560675115,-0.045757490560675115,-0.07058107428570722,0.021189299069938092
20,5,10,0.8,1.0,0.8,0.85,0.85,1.0,0.021189299069938092,-0.07058107428570722,-0.045757490560675115,-0.045757490560675115,0.021189299069938092
20,5,11,0.6,1.0,0.95,0.75,0.85,1.0,0.021189299069938092,0.0,-0.09691001300805638,-0.045757490560675115,0.021189299069938092
20,5,12,0.5,1.0,0.95,0.8,0.7,1.0,0.021189299069938092,0.0,-0.07058107428570722,-0.12493873660829993,0.021189299069938092
20,5,13,0.65,1.0,0.85,0.8,0.6,1.0,0.021189299069938092,-0.045757490560675115,-0.07058107428570722,-0.1870866433571444,0.021189299069938092
20,5,14,0.7,1.0,0.9,0.9,0.7,1.0,0.021189299069938092,-0.0222763947111522,-0.0222763947111522,-0.12493873660829993,0.021189299069938092
20,5,15,0.55,1.0,0.95,0.75,0.7,1.0,0.021189299069938092,0.0,-0.09691001300805638,-0.12493873660829993,0.021189299069938092
20,5,16,0.35,1.0,1.0,0.8,0.75,1.0,0.021189299069938092,0.021189299069938092,-0.07058107428570722,-0.09691001300805638,0.021189299069938092
20,5,17,0.3,1.0,1.0,0.6,0.75,1.0,0.021189299069938092,0.021189299069938092,-0.1870866433571444,-0.09691001300805638,0.021189299069938092
20,5,18,0.3,1.0,1.0,0.6,0.8,1.0,0.021189299069938092,0.021189299069938092,-0.1870866433571444,-0.07058107428570722,0.021189299069938092
20,5,19,0.2,1.0,1.0,0.6,0.85,1.0,0.021189299069938092,0.021189299069938092,-0.1870866433571444,-0.045757490560675115,0.021189299069938092
20,5,20,0.25,1.0,1.0,0.85,0.65,1.0,0.021189299069938092,0.021189299069938092,-0.045757490560675115,-0.1549019599857431,0.021189299069938092
20,5,21,0.2,1.0,1.0,0.9,0.65,1.0,0.021189299069938092,0.021189299069938092,-0.0222763947111522,-0.1549019599857431,0.021189299069938092
20,5,22,0.25,1.0,1.0,0.9,0.6,1.0,0.021189299069938092,0.021189299069938092,-0.0222763947111522,-0.1870866433571444,0.021189299069938092
20,5,23,0.25,1.0,1.0,0.9,0.7,1.0,0.021189299069938092,0.021189299069938092,-0.0222763947111522,-0.12493873660829993,0.021189299069938092
20,5,24,0.2,1.0,1.0,0.9,0.7,1.0,0.021189299069938092,0.021189299069938092,-0.0222763947111522,-0.12493873660829993,0.021189299069938092
20,5,25,0.15,1.0,1.0,1.0,0.7,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.12493873660829993,0.021189299069938092
20,5,26,0.15,1.0,1.0,1.0,0.8,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.07058107428570722,0.021189299069938092
20,5,27,0.15,1.0,1.0,1.0,0.8,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.07058107428570722,0.021189299069938092
20,5,28,0.15,1.0,1.0,1.0,0.5,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.2596373105057561,0.021189299069938092
20,5,29,0.15,1.0,1.0,1.0,0.55,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.22184874961635626,0.021189299069938092
20,5,30,0.15,1.0,1.0,1.0,0.45,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.30102999566398114,0.021189299069938092
20,5,31,0.15,1.0,1.0,1.0,0.35,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.3979400086720376,0.021189299069938092
20,5,32,0.15,1.0,1.0,1.0,0.25,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.5228787452803376,0.021189299069938092
20,5,33,0.1,1.0,1.0,1.0,0.05,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.9999999999999998,0.021189299069938092
20,5,34,0.1,1.0,1.0,1.0,0.05,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.9999999999999998,0.021189299069938092
20,5,35,0.15,1.0,1.0,1.0,0.1,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.8239087409443185,0.021189299069938092
20,5,36,0.1,1.0,1.0,1.0,0.05,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.9999999999999998,0.021189299069938092
20,5,37,0.1,1.0,1.0,1.0,0.1,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.8239087409443185,0.021189299069938092
20,5,38,0.1,1.0,1.0,1.0,0.1,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.8239087409443185,0.021189299069938092
20,5,39,0.1,1.0,1.0,1.0,0.15,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.6989700043360187,0.021189299069938092
20,5,40,0.1,1.0,1.0,1.0,0.05,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.9999999999999998,0.021189299069938092
20,5,41,0.1,1.0,1.0,1.0,0.05,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-0.9999999999999998,0.021189299069938092
20,5,42,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,43,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,44,0.1,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,45,0.1,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,46,0.1,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,47,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,48,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,49,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,50,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,51,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,52,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,53,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,54,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,55,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,56,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,57,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,58,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,59,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,60,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,61,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,62,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,63,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,64,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,65,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,66,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,67,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,68,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,69,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,70,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,71,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,72,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,73,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,74,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,75,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,76,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,77,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,78,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,79,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,80,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,81,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,82,0.05,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,83,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,84,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,85,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,86,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,87,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,88,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,89,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,90,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,91,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,92,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,93,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,94,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,95,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,96,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,97,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,98,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,99,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,100,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,101,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,102,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,103,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,104,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,105,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
20,5,106,0.0,1.0,1.0,1.0,0.0,1.0,0.021189299069938092,0.021189299069938092,0.021189299069938092,-1.301029995663981,0.021189299069938092
