popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4
100,5,0,-0.23657200643706275,-0.22184874961635637,-0.1870866433571444,-0.19382002601611278,-0.10237290870955855
100,5,1,-0.19382002601611278,-0.1870866433571444,-0.20065945054641826,-0.17392519729917352,-0.10237290870955855
100,5,2,-0.16115090926274464,-0.1549019599857432,-0.2076083105017461,-0.10237290870955855,-0.11350927482751812
100,5,3,-0.11350927482751812,-0.14874165128092473,-0.11918640771920865,-0.0809219076239261,-0.0809219076239261
100,5,4,-0.07058107428570727,-0.1307682802690238,-0.09691001300805638,-0.10237290870955855,-0.10790539730951958
100,5,5,-0.09691001300805638,-0.10790539730951958,-0.06550154875643228,-0.0809219076239261,-0.06048074738138147
100,5,6,-0.10790539730951958,-0.06550154875643228,-0.0506099933550872,-0.07572071393811836,-0.06048074738138147
100,5,7,-0.09151498112135022,-0.05551732784983136,-0.03621217265444471,-0.09691001300805638,-0.0506099933550872
100,5,8,-0.09691001300805638,-0.05551732784983136,-0.06048074738138147,-0.10237290870955855,-0.06550154875643228
100,5,9,-0.07572071393811836,-0.026872146400301312,-0.040958607678906384,-0.07572071393811836,-0.03621217265444471
100,5,10,-0.06048074738138147,-0.0506099933550872,-0.045757490560675115,-0.08618614761628327,-0.07058107428570727
100,5,11,-0.0506099933550872,-0.026872146400301312,-0.02227639471115225,-0.0809219076239261,-0.040958607678906384
100,5,12,-0.06550154875643228,-0.031517051446064856,-0.004364805402450088,-0.06550154875643228,-0.031517051446064856
100,5,13,-0.09691001300805638,-0.02227639471115225,-0.031517051446064856,-0.06048074738138147,-0.045757490560675115
100,5,14,-0.11918640771920865,-0.013228265733755159,-0.040958607678906384,-0.06048074738138147,-0.031517051446064856
100,5,15,-0.09691001300805638,0.0,-0.040958607678906384,-0.07058107428570727,-0.02227639471115225
100,5,16,-0.07572071393811836,0.004321373782642578,-0.031517051446064856,-0.05551732784983136,-0.013228265733755159
100,5,17,-0.06550154875643228,-0.00877392430750515,-0.02227639471115225,-0.031517051446064856,-0.03621217265444471
100,5,18,-0.05551732784983136,-0.004364805402450088,-0.03621217265444471,-0.02227639471115225,-0.026872146400301312
100,5,19,-0.06550154875643228,-0.004364805402450088,-0.013228265733755159,-0.013228265733755159,-0.017728766960431602
100,5,20,-0.040958607678906384,0.004321373782642578,0.0,-0.004364805402450088,-0.026872146400301312
100,5,21,-0.045757490560675115,0.0,0.004321373782642578,-0.00877392430750515,-0.026872146400301312
100,5,22,-0.05551732784983136,0.0,-0.00877392430750515,-0.031517051446064856,-0.031517051446064856
100,5,23,-0.06550154875643228,0.0,-0.00877392430750515,-0.045757490560675115,-0.03621217265444471
100,5,24,-0.06550154875643228,0.0,0.0,-0.040958607678906384,-0.026872146400301312
100,5,25,-0.0506099933550872,0.004321373782642578,-0.00877392430750515,-0.031517051446064856,-0.02227639471115225
100,5,26,-0.06550154875643228,0.004321373782642578,0.0,-0.031517051446064856,-0.02227639471115225
100,5,27,-0.0506099933550872,0.004321373782642578,0.004321373782642578,-0.040958607678906384,-0.004364805402450088
100,5,28,-0.05551732784983136,0.004321373782642578,-0.004364805402450088,-0.045757490560675115,-0.013228265733755159
100,5,29,-0.045757490560675115,0.004321373782642578,0.0,-0.03621217265444471,-0.013228265733755159
100,5,30,-0.045757490560675115,0.004321373782642578,0.0,-0.045757490560675115,-0.013228265733755159
100,5,31,-0.013228265733755159,0.004321373782642578,0.0,-0.03621217265444471,-0.013228265733755159
100,5,32,-0.017728766960431602,0.004321373782642578,0.004321373782642578,-0.02227639471115225,-0.00877392430750515
100,5,33,-0.013228265733755159,0.004321373782642578,0.004321373782642578,-0.02227639471115225,-0.00877392430750515
100,5,34,-0.00877392430750515,0.004321373782642578,0.004321373782642578,-0.017728766960431602,-0.00877392430750515
100,5,35,-0.031517051446064856,0.004321373782642578,0.004321373782642578,-0.017728766960431602,-0.004364805402450088
100,5,36,-0.026872146400301312,0.004321373782642578,0.004321373782642578,-0.00877392430750515,-0.013228265733755159
100,5,37,-0.026872146400301312,0.004321373782642578,0.0,-0.017728766960431602,-0.017728766960431602
100,5,38,-0.02227639471115225,0.004321373782642578,0.004321373782642578,-0.00877392430750515,-0.02227639471115225
100,5,39,-0.013228265733755159,0.004321373782642578,0.004321373782642578,-0.00877392430750515,-0.02227639471115225
100,5,40,-0.031517051446064856,0.004321373782642578,0.004321373782642578,-0.013228265733755159,0.004321373782642578
100,5,41,-0.06048074738138147,0.004321373782642578,0.004321373782642578,-0.017728766960431602,-0.00877392430750515
100,5,42,-0.0506099933550872,0.004321373782642578,0.004321373782642578,-0.00877392430750515,-0.00877392430750515
100,5,43,-0.026872146400301312,0.004321373782642578,0.004321373782642578,-0.031517051446064856,0.004321373782642578
100,5,44,-0.02227639471115225,0.004321373782642578,0.004321373782642578,-0.031517051446064856,0.0
100,5,45,-0.013228265733755159,0.004321373782642578,0.004321373782642578,-0.017728766960431602,0.0
100,5,46,-0.00877392430750515,0.004321373782642578,0.004321373782642578,-0.004364805402450088,0.0
100,5,47,-0.017728766960431602,0.004321373782642578,0.004321373782642578,-0.004364805402450088,0.004321373782642578
100,5,48,0.0,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,49,0.0,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,50,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,51,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.0
