popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
100,5,0,0.82,0.66,0.72,0.72,0.73,-0.0809219076239261,-0.17392519729917352,-0.13667713987954408,-0.13667713987954408,-0.1307682802690238
100,5,1,0.83,0.75,0.71,0.78,0.73,-0.07572071393811836,-0.11918640771920865,-0.14266750356873154,-0.10237290870955855,-0.1307682802690238
100,5,2,0.8,0.75,0.71,0.7,0.73,-0.09151498112135022,-0.11918640771920865,-0.14266750356873154,-0.14874165128092473,-0.1307682802690238
100,5,3,0.87,0.69,0.75,0.73,0.73,-0.05551732784983136,-0.1549019599857432,-0.11918640771920865,-0.1307682802690238,-0.1307682802690238
100,5,4,0.86,0.82,0.78,0.77,0.81,-0.06048074738138147,-0.0809219076239261,-0.10237290870955855,-0.10790539730951958,-0.08618614761628327
100,5,5,0.9,0.86,0.78,0.68,0.68,-0.040958607678906384,-0.06048074738138147,-0.10237290870955855,-0.16115090926274464,-0.16115090926274464
100,5,6,0.9,0.83,0.82,0.75,0.82,-0.040958607678906384,-0.07572071393811836,-0.0809219076239261,-0.11918640771920865,-0.0809219076239261
100,5,7,0.91,0.9,0.77,0.77,0.78,-0.03621217265444471,-0.040958607678906384,-0.10790539730951958,-0.10790539730951958,-0.10237290870955855
100,5,8,0.91,0.92,0.82,0.75,0.78,-0.03621217265444471,-0.031517051446064856,-0.0809219076239261,-0.11918640771920865,-0.10237290870955855
100,5,9,0.94,0.9,0.78,0.8,0.73,-0.02227639471115225,-0.040958607678906384,-0.10237290870955855,-0.09151498112135022,-0.1307682802690238
100,5,10,0.94,0.9,0.83,0.8,0.79,-0.02227639471115225,-0.040958607678906384,-0.07572071393811836,-0.09151498112135022,-0.09691001300805638
100,5,11,0.93,0.91,0.83,0.8,0.78,-0.026872146400301312,-0.03621217265444471,-0.07572071393811836,-0.09151498112135022,-0.10237290870955855
