generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,48.0233333333,8.93333333333,6.09333333333,3.10666666667,-11.9366666667,18.49,51.2166666667,4.41,-5.72666666667,-10.45,-0.45,4.08333333333,39.4966666667,-12.5066666667,2.83333333333,-2.04666666667,-14.4833333333,-3.08666666667,43.6433333333,8.40666666667,0.313333333333,1.74333333333,-0.4,-8.52,34.14,8609.02620959,6303.58751394,8936.68691193,10191.6206912,10699.1765775,12026.2774916,8543.72212932,8240.07548495,10251.6173467,9165.09782609,9927.39882943,11731.7355072,8630.3912932,10369.3946042,8927.65774805,9598.92758082,9453.8893534,8346.92891862,6156.36400223,10051.1384169,9275.37975474,11191.0141695,10080.9632107,9089.59491639,7848.14086957
1,66.1866666667,11.5566666667,5.42666666667,2.15333333333,-5.59666666667,19.8666666667,61.3633333333,3.89,-6.14,-13.7733333333,-2.13666666667,-1.01666666667,52.6166666667,-5.17666666667,6.02666666667,-2.98666666667,-18.0433333333,0.993333333333,43.51,6.49,-4.36666666667,16.02,-7.72,3.08,47.2333333333,7736.94831661,5776.88975474,8473.67687848,9756.35768116,8522.3551728,11392.9253066,7705.50968785,6078.85408027,11270.7763211,9101.49360089,9363.11503902,12342.4980491,7663.15356745,11143.8583166,7565.75848384,8439.45801561,10015.9145039,7387.13707915,5708.21060201,8880.53167224,8776.34671126,11931.2236789,9697.4464214,9794.29458194,7420.56075808
2,80.48,11.5066666667,6.05666666667,-5.26333333333,-3.96333333333,24.0433333333,63.9033333333,-0.443333333333,-4.81333333333,-6.0,-4.13,4.20333333333,58.35,-11.2466666667,9.63666666667,-4.94,-12.1866666667,1.17333333333,54.1833333333,1.64666666667,-3.97,7.72333333333,-12.7533333333,8.09333333333,60.3233333333,7035.66849498,5342.8193534,7583.05697882,8790.23477146,6969.51370123,11896.6971126,8663.27824972,6555.83289855,12422.881427,8989.89966555,8631.49140468,11274.831427,6621.47909699,10788.6145373,7579.83075808,8324.80575251,9759.01520624,7761.073534,6278.50473802,8232.38309922,9170.61782609,11028.842932,10701.7315942,8835.85079153,7447.34995541
3,84.9533333333,17.8466666667,9.70666666667,-12.95,-3.23666666667,21.17,70.9966666667,6.56666666667,-9.46333333333,-1.71333333333,-0.79,4.21,64.3266666667,-5.80333333333,10.28,-8.37666666667,-15.6466666667,6.95666666667,57.7366666667,0.85,-5.37,12.7433333333,-13.4133333333,-4.06,71.1566666667,6655.87072464,4764.4045039,7292.4554738,7402.20150502,6367.80667781,11582.8372241,9757.78259755,5696.70791527,11162.9652062,10959.3757414,10069.6112709,8660.34036789,7416.96316611,9896.58661093,7701.4464214,7214.73724638,8146.88477146,8666.36266444,5633.5725641,8346.38210702,8860.30745819,10640.9004571,11045.1864437,9448.06996656,7774.333233
4,92.5666666667,23.55,9.62333333333,-14.2166666667,-4.55,20.79,82.4333333333,20.6466666667,-8.98333333333,1.36666666667,6.59,5.95333333333,66.5366666667,-2.99666666667,8.62,-13.7033333333,-18.4533333333,11.0233333333,67.1666666667,0.403333333333,-4.20333333333,23.75,-10.7466666667,-7.12666666667,77.9533333333,6435.91192865,4225.33862876,8271.41283166,7746.77229654,5225.10451505,10766.6012375,10024.219621,5340.49012263,9887.78232999,10844.4671126,8617.31294314,8810.55968785,6652.30968785,10460.3244036,7610.46381271,7140.89831661,6341.37908584,8469.73523969,5801.96544036,8418.85015608,7968.7912932,9578.12123746,10781.3001561,9303.2012932,7373.39580825
5,90.5566666667,26.84,1.95666666667,-12.0633333333,-7.09666666667,28.2566666667,84.11,24.56,-17.36,-7.25,6.47,9.12666666667,67.82,-11.8066666667,12.7033333333,-16.5,-26.4833333333,17.0566666667,61.19,-2.23,-0.906666666667,23.72,-13.8233333333,-4.34333333333,76.3633333333,5716.75597547,3906.95090301,7520.94460424,6338.35383501,5273.05082497,10433.1479487,10779.623311,5270.94956522,8043.49538462,9541.33862876,8269.90210702,8614.57921962,6629.01765886,9902.16985507,7166.34313266,5396.63210702,6917.74219621,8550.09376812,6972.84337793,7482.44525084,8139.15513935,9051.43304348,11177.5372464,9601.71784838,8274.58661093
6,104.63,20.52,4.52666666667,-12.3866666667,-1.59333333333,28.2333333333,93.1233333333,24.03,-14.2566666667,-0.18,14.9266666667,7.08666666667,70.9566666667,-14.73,12.78,-20.1233333333,-28.4266666667,17.0833333333,62.63,-3.37,6.40666666667,24.4733333333,-23.14,-6.11333333333,79.6166666667,5539.91949833,4018.00294314,8454.06952062,7550.12423634,4609.21199554,9546.10590858,10741.9880825,5330.38371237,7852.88707915,8475.88053512,8529.51299889,8014.76169454,5908.2422631,10406.8934114,7365.26916388,5176.9512932,7858.31901895,9122.77229654,6380.82919732,6958.32083612,7440.08156076,9042.6915942,11893.2378595,8771.18443701,7023.48801561
7,112.953333333,19.5033333333,8.58666666667,-6.19666666667,2.45666666667,30.52,97.92,28.13,-16.5966666667,0.74,21.4066666667,9.12666666667,73.61,-18.0933333333,6.13666666667,-22.19,-31.08,19.3766666667,73.38,-1.93333333333,7.69666666667,15.3566666667,-23.06,4.59333333333,75.5766666667,6326.78042363,4134.04346711,8310.56437012,7478.3190524,4860.42286511,9021.97618729,11140.5420736,5316.84257525,6828.58928651,7384.75491639,7831.6200223,7708.82671126,5482.27214047,9862.86082497,7142.8274136,5314.19454849,7932.58889632,8347.92119287,7508.46381271,6427.69453735,6070.05818283,10368.945942,13502.8191304,8577.09828317,6018.03089186
8,122.69,18.67,16.1166666667,-9.87,13.7,38.0566666667,102.19,32.3933333333,-11.5433333333,3.50333333333,33.15,13.6866666667,71.8333333333,-22.1333333333,2.02333333333,-24.7133333333,-32.23,16.5666666667,82.96,-3.77666666667,7.25666666667,28.6333333333,-14.1733333333,-3.81333333333,72.5733333333,6886.73635452,3923.579699,8302.51142698,6380.66866221,4883.72909699,7686.90982163,11068.1945485,4885.85814939,7541.05831661,7819.54179487,9641.29180602,7745.37306577,6059.85172798,9149.24637681,6522.3506243,5416.55299889,7032.29809365,7081.4303233,7381.96494983,5740.80948718,6561.79677815,10405.1426979,12767.5551394,9101.30283166,6165.36249721
9,123.64,17.85,21.8166666667,-10.3733333333,13.53,42.53,107.393333333,36.92,-7.52333333333,1.85,28.63,16.2366666667,76.2866666667,-25.09,-1.31,-19.4633333333,-31.6233333333,21.0533333333,81.4633333333,-5.66666666667,6.86333333333,29.1033333333,-1.58,-7.75,80.2133333333,6921.98367893,3700.16137124,8488.65858417,6021.88022297,4691.76832776,7248.91882943,11617.0822297,4998.08722408,6433.64828317,8793.2583612,9842.42785953,7644.30166109,6034.47942029,8308.06210702,5947.72632107,6654.34982163,8464.63022297,6800.83995541,7657.46018952,6012.16276477,6855.13510591,10364.3805909,11951.0002676,9333.94063545,6609.43928651
10,125.606666667,17.1733333333,25.4166666667,-8.40666666667,11.98,41.6833333333,110.183333333,35.09,-7.09666666667,3.61333333333,29.64,17.3833333333,83.7566666667,-29.16,3.17,-12.2933333333,-25.9433333333,25.13,84.84,-1.09666666667,5.32666666667,13.8866666667,2.25,-11.3733333333,83.2433333333,6962.88824972,3872.91968785,8416.25055741,5748.20865106,4298.14006689,7294.84587514,11291.1401895,4134.79120401,5796.20801561,8221.37507246,9106.46528428,7810.31744705,5654.5325641,9494.00107023,5359.03120401,6107.63273133,6852.11383501,7350.37434783,7267.98769231,4840.58259755,6657.06350056,9375.87340022,11083.2182274,9628.64276477,5899.46232999
11,135.186666667,14.4066666667,24.4133333333,-10.02,10.5133333333,45.8766666667,114.65,36.23,-2.99333333333,-0.316666666667,33.79,19.61,82.8833333333,-37.0933333333,2.57666666667,-9.08,-30.3966666667,20.37,94.76,-6.5,-2.03666666667,20.49,13.6566666667,-22.8433333333,88.97,7186.72089186,4045.15848384,8348.08276477,7004.12668896,4189.34764771,8246.03490524,12056.5359532,4153.25461538,5450.15380156,9264.82580825,8477.18317726,7432.7938796,5210.63182832,8080.9277146,5126.21149387,6762.1741806,6378.64814939,6203.5248495,6179.58769231,4655.96989967,6638.04212932,7746.97983278,10489.4770457,8191.83824972,5436.16966555
