popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
100,5,0,0.63,0.59,0.62,0.66,0.67,-0.19382002601611278,-0.22184874961635637,-0.20065945054641826,-0.17392519729917352,-0.16749108729376364
100,5,1,0.68,0.69,0.65,0.68,0.7,-0.16115090926274464,-0.1549019599857432,-0.18045606445813128,-0.16115090926274464,-0.14874165128092473
100,5,2,0.74,0.72,0.66,0.67,0.8,-0.12493873660829993,-0.13667713987954408,-0.17392519729917352,-0.16749108729376364,-0.09151498112135022
100,5,3,0.86,0.75,0.71,0.71,0.86,-0.06048074738138147,-0.11918640771920865,-0.14266750356873154,-0.14266750356873154,-0.06048074738138147
100,5,4,0.87,0.77,0.73,0.79,0.88,-0.05551732784983136,-0.10790539730951958,-0.1307682802690238,-0.09691001300805638,-0.0506099933550872
100,5,5,0.88,0.79,0.7,0.85,0.9,-0.0506099933550872,-0.09691001300805638,-0.14874165128092473,-0.06550154875643228,-0.040958607678906384
100,5,6,0.91,0.84,0.66,0.85,0.91,-0.03621217265444471,-0.07058107428570727,-0.17392519729917352,-0.06550154875643228,-0.03621217265444471
100,5,7,0.91,0.8,0.65,0.81,0.9,-0.03621217265444471,-0.09151498112135022,-0.18045606445813128,-0.08618614761628327,-0.040958607678906384
100,5,8,0.88,0.68,0.64,0.83,0.88,-0.0506099933550872,-0.16115090926274464,-0.1870866433571444,-0.07572071393811836,-0.0506099933550872
100,5,9,0.94,0.77,0.65,0.8,0.88,-0.02227639471115225,-0.10790539730951958,-0.18045606445813128,-0.09151498112135022,-0.0506099933550872
100,5,10,0.96,0.73,0.63,0.8,0.87,-0.013228265733755159,-0.1307682802690238,-0.19382002601611278,-0.09151498112135022,-0.05551732784983136
100,5,11,0.97,0.76,0.67,0.83,0.89,-0.00877392430750515,-0.11350927482751812,-0.16749108729376364,-0.07572071393811836,-0.045757490560675115
100,5,12,0.96,0.79,0.67,0.73,0.9,-0.013228265733755159,-0.09691001300805638,-0.16749108729376364,-0.1307682802690238,-0.040958607678906384
100,5,13,0.93,0.72,0.69,0.73,0.89,-0.026872146400301312,-0.13667713987954408,-0.1549019599857432,-0.1307682802690238,-0.045757490560675115
100,5,14,0.95,0.72,0.67,0.87,0.94,-0.017728766960431602,-0.13667713987954408,-0.16749108729376364,-0.05551732784983136,-0.02227639471115225
100,5,15,0.94,0.79,0.72,0.85,0.93,-0.02227639471115225,-0.09691001300805638,-0.13667713987954408,-0.06550154875643228,-0.026872146400301312
100,5,16,0.91,0.79,0.65,0.84,0.97,-0.03621217265444471,-0.09691001300805638,-0.18045606445813128,-0.07058107428570727,-0.00877392430750515
100,5,17,0.91,0.76,0.6,0.84,0.96,-0.03621217265444471,-0.11350927482751812,-0.21467016498923294,-0.07058107428570727,-0.013228265733755159
100,5,18,0.9,0.67,0.48,0.78,0.97,-0.040958607678906384,-0.16749108729376364,-0.3098039199714863,-0.10237290870955855,-0.00877392430750515
100,5,19,0.89,0.72,0.46,0.82,0.98,-0.045757490560675115,-0.13667713987954408,-0.3279021420642825,-0.0809219076239261,-0.004364805402450088
100,5,20,0.92,0.69,0.53,0.85,0.97,-0.031517051446064856,-0.1549019599857432,-0.26760624017703144,-0.06550154875643228,-0.00877392430750515
100,5,21,0.94,0.71,0.5,0.87,0.97,-0.02227639471115225,-0.14266750356873154,-0.2924298239020636,-0.05551732784983136,-0.00877392430750515
100,5,22,0.95,0.64,0.5,0.81,0.96,-0.017728766960431602,-0.1870866433571444,-0.2924298239020636,-0.08618614761628327,-0.013228265733755159
100,5,23,0.91,0.68,0.5,0.83,0.93,-0.03621217265444471,-0.16115090926274464,-0.2924298239020636,-0.07572071393811836,-0.026872146400301312
100,5,24,0.93,0.77,0.54,0.88,0.95,-0.026872146400301312,-0.10790539730951958,-0.2596373105057561,-0.0506099933550872,-0.017728766960431602
100,5,25,0.93,0.74,0.5,0.86,0.97,-0.026872146400301312,-0.12493873660829993,-0.2924298239020636,-0.06048074738138147,-0.00877392430750515
100,5,26,0.95,0.74,0.43,0.87,1.0,-0.017728766960431602,-0.12493873660829993,-0.3565473235138125,-0.05551732784983136,0.004321373782642578
100,5,27,0.95,0.76,0.45,0.84,1.0,-0.017728766960431602,-0.11350927482751812,-0.33724216831842585,-0.07058107428570727,0.004321373782642578
100,5,28,0.97,0.77,0.45,0.85,1.0,-0.00877392430750515,-0.10790539730951958,-0.33724216831842585,-0.06550154875643228,0.004321373782642578
100,5,29,0.99,0.8,0.45,0.86,1.0,0.0,-0.09151498112135022,-0.33724216831842585,-0.06048074738138147,0.004321373782642578
100,5,30,1.0,0.82,0.45,0.88,1.0,0.004321373782642578,-0.0809219076239261,-0.33724216831842585,-0.0506099933550872,0.004321373782642578
100,5,31,1.0,0.85,0.46,0.94,1.0,0.004321373782642578,-0.06550154875643228,-0.3279021420642825,-0.02227639471115225,0.004321373782642578
100,5,32,0.98,0.84,0.45,0.98,1.0,-0.004364805402450088,-0.07058107428570727,-0.33724216831842585,-0.004364805402450088,0.004321373782642578
100,5,33,0.99,0.84,0.51,0.98,1.0,0.0,-0.07058107428570727,-0.2839966563652008,-0.004364805402450088,0.004321373782642578
100,5,34,0.99,0.86,0.54,0.96,1.0,0.0,-0.06048074738138147,-0.2596373105057561,-0.013228265733755159,0.004321373782642578
100,5,35,0.96,0.85,0.53,0.94,1.0,-0.013228265733755159,-0.06550154875643228,-0.26760624017703144,-0.02227639471115225,0.004321373782642578
100,5,36,0.97,0.87,0.54,0.95,1.0,-0.00877392430750515,-0.05551732784983136,-0.2596373105057561,-0.017728766960431602,0.004321373782642578
100,5,37,0.95,0.84,0.52,0.93,1.0,-0.017728766960431602,-0.07058107428570727,-0.2757241303992109,-0.026872146400301312,0.004321373782642578
100,5,38,0.95,0.8,0.55,0.94,1.0,-0.017728766960431602,-0.09151498112135022,-0.25181197299379954,-0.02227639471115225,0.004321373782642578
100,5,39,0.96,0.81,0.6,0.93,1.0,-0.013228265733755159,-0.08618614761628327,-0.21467016498923294,-0.026872146400301312,0.004321373782642578
100,5,40,0.95,0.81,0.49,0.97,1.0,-0.017728766960431602,-0.08618614761628327,-0.30102999566398114,-0.00877392430750515,0.004321373782642578
100,5,41,0.94,0.83,0.44,0.95,1.0,-0.02227639471115225,-0.07572071393811836,-0.34678748622465627,-0.017728766960431602,0.004321373782642578
100,5,42,0.91,0.86,0.52,0.96,1.0,-0.03621217265444471,-0.06048074738138147,-0.2757241303992109,-0.013228265733755159,0.004321373782642578
100,5,43,0.92,0.86,0.48,0.96,1.0,-0.031517051446064856,-0.06048074738138147,-0.3098039199714863,-0.013228265733755159,0.004321373782642578
100,5,44,0.93,0.92,0.55,0.99,1.0,-0.026872146400301312,-0.031517051446064856,-0.25181197299379954,0.0,0.004321373782642578
100,5,45,0.95,0.95,0.53,1.0,1.0,-0.017728766960431602,-0.017728766960431602,-0.26760624017703144,0.004321373782642578,0.004321373782642578
100,5,46,0.92,0.92,0.5,1.0,1.0,-0.031517051446064856,-0.031517051446064856,-0.2924298239020636,0.004321373782642578,0.004321373782642578
100,5,47,0.91,0.91,0.55,1.0,1.0,-0.03621217265444471,-0.03621217265444471,-0.25181197299379954,0.004321373782642578,0.004321373782642578
100,5,48,0.92,0.92,0.59,1.0,1.0,-0.031517051446064856,-0.031517051446064856,-0.22184874961635637,0.004321373782642578,0.004321373782642578
100,5,49,0.93,0.93,0.57,1.0,1.0,-0.026872146400301312,-0.026872146400301312,-0.23657200643706275,0.004321373782642578,0.004321373782642578
100,5,50,0.88,0.88,0.57,1.0,1.0,-0.0506099933550872,-0.0506099933550872,-0.23657200643706275,0.004321373782642578,0.004321373782642578
100,5,51,0.92,0.92,0.57,1.0,1.0,-0.031517051446064856,-0.031517051446064856,-0.23657200643706275,0.004321373782642578,0.004321373782642578
