popsize,genenumber,generationnumber,diversity,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
50,5,0,1.0,0.8,0.88,0.66,0.64,0.82,-0.08618614761628327,-0.045757490560675115,-0.16749108729376364,-0.18045606445813128,-0.07572071393811836
50,5,1,1.0,0.88,0.82,0.62,0.64,0.86,-0.045757490560675115,-0.07572071393811836,-0.19382002601611278,-0.18045606445813128,-0.05551732784983136
50,5,2,1.0,0.92,0.78,0.7,0.66,0.9,-0.026872146400301312,-0.09691001300805638,-0.14266750356873154,-0.16749108729376364,-0.03621217265444471
50,5,3,1.0,0.9,0.8,0.74,0.76,0.88,-0.03621217265444471,-0.08618614761628327,-0.11918640771920865,-0.10790539730951958,-0.045757490560675115
50,5,4,1.0,0.92,0.84,0.84,0.76,0.82,-0.026872146400301312,-0.06550154875643228,-0.06550154875643228,-0.10790539730951958,-0.07572071393811836
50,5,5,1.0,0.94,0.92,0.82,0.78,0.84,-0.017728766960431602,-0.026872146400301312,-0.07572071393811836,-0.09691001300805638,-0.06550154875643228
50,5,6,1.0,0.9,0.96,0.92,0.82,0.88,-0.03621217265444471,-0.00877392430750515,-0.026872146400301312,-0.07572071393811836,-0.045757490560675115
50,5,7,1.0,0.92,0.88,1.0,0.76,0.76,-0.026872146400301312,-0.045757490560675115,0.008600171761917567,-0.10790539730951958,-0.10790539730951958
50,5,8,1.0,0.84,0.92,0.88,0.74,0.6,-0.06550154875643228,-0.026872146400301312,-0.045757490560675115,-0.11918640771920865,-0.2076083105017461
50,5,9,1.0,0.94,0.88,0.84,0.74,0.88,-0.017728766960431602,-0.045757490560675115,-0.06550154875643228,-0.11918640771920865,-0.045757490560675115
50,5,10,1.0,0.84,0.9,0.78,0.82,0.88,-0.06550154875643228,-0.03621217265444471,-0.09691001300805638,-0.07572071393811836,-0.045757490560675115
50,5,11,1.0,0.82,0.94,0.84,0.84,0.92,-0.07572071393811836,-0.017728766960431602,-0.06550154875643228,-0.06550154875643228,-0.026872146400301312
50,5,12,1.0,0.9,0.96,0.88,0.88,0.9,-0.03621217265444471,-0.00877392430750515,-0.045757490560675115,-0.045757490560675115,-0.03621217265444471
50,5,13,1.0,0.94,0.98,0.84,1.0,0.98,-0.017728766960431602,0.0,-0.06550154875643228,0.008600171761917567,0.0
50,5,14,1.0,0.9,0.98,0.9,0.94,0.96,-0.03621217265444471,0.0,-0.03621217265444471,-0.017728766960431602,-0.00877392430750515
50,5,15,1.0,0.94,0.96,0.92,0.94,0.94,-0.017728766960431602,-0.00877392430750515,-0.026872146400301312,-0.017728766960431602,-0.017728766960431602
50,5,16,1.0,0.98,0.98,0.88,0.96,1.0,0.0,0.0,-0.045757490560675115,-0.00877392430750515,0.008600171761917567
50,5,17,1.0,0.94,0.96,0.88,0.9,0.98,-0.017728766960431602,-0.00877392430750515,-0.045757490560675115,-0.03621217265444471,0.0
50,5,18,1.0,0.96,0.94,0.76,0.88,0.98,-0.00877392430750515,-0.017728766960431602,-0.10790539730951958,-0.045757490560675115,0.0
50,5,19,1.0,0.98,1.0,0.8,0.96,0.98,0.0,0.008600171761917567,-0.08618614761628327,-0.00877392430750515,0.0
50,5,20,1.0,1.0,0.98,0.78,0.92,0.94,0.008600171761917567,0.0,-0.09691001300805638,-0.026872146400301312,-0.017728766960431602
50,5,21,1.0,1.0,1.0,0.88,0.96,0.98,0.008600171761917567,0.008600171761917567,-0.045757490560675115,-0.00877392430750515,0.0
50,5,22,1.0,1.0,0.98,0.78,0.94,0.98,0.008600171761917567,0.0,-0.09691001300805638,-0.017728766960431602,0.0
50,5,23,1.0,1.0,0.94,0.78,0.96,0.98,0.008600171761917567,-0.017728766960431602,-0.09691001300805638,-0.00877392430750515,0.0
50,5,24,1.0,1.0,0.98,0.82,1.0,1.0,0.008600171761917567,0.0,-0.07572071393811836,0.008600171761917567,0.008600171761917567
50,5,25,1.0,1.0,0.98,0.9,0.98,1.0,0.008600171761917567,0.0,-0.03621217265444471,0.0,0.008600171761917567
50,5,26,1.0,1.0,0.9,0.9,1.0,0.96,0.008600171761917567,-0.03621217265444471,-0.03621217265444471,0.008600171761917567,-0.00877392430750515
50,5,27,1.0,1.0,0.96,0.86,1.0,0.98,0.008600171761917567,-0.00877392430750515,-0.05551732784983136,0.008600171761917567,0.0
50,5,28,1.0,1.0,0.96,0.82,0.98,0.98,0.008600171761917567,-0.00877392430750515,-0.07572071393811836,0.0,0.0
50,5,29,1.0,1.0,0.96,0.76,0.96,1.0,0.008600171761917567,-0.00877392430750515,-0.10790539730951958,-0.00877392430750515,0.008600171761917567
50,5,30,1.0,1.0,1.0,0.82,0.96,1.0,0.008600171761917567,0.008600171761917567,-0.07572071393811836,-0.00877392430750515,0.008600171761917567
50,5,31,1.0,1.0,1.0,0.86,1.0,1.0,0.008600171761917567,0.008600171761917567,-0.05551732784983136,0.008600171761917567,0.008600171761917567
50,5,32,1.0,1.0,1.0,0.84,1.0,1.0,0.008600171761917567,0.008600171761917567,-0.06550154875643228,0.008600171761917567,0.008600171761917567
50,5,33,1.0,1.0,1.0,0.88,1.0,1.0,0.008600171761917567,0.008600171761917567,-0.045757490560675115,0.008600171761917567,0.008600171761917567
50,5,34,1.0,1.0,1.0,0.8,1.0,0.98,0.008600171761917567,0.008600171761917567,-0.08618614761628327,0.008600171761917567,0.0
50,5,35,1.0,1.0,1.0,0.74,0.98,1.0,0.008600171761917567,0.008600171761917567,-0.11918640771920865,0.0,0.008600171761917567
50,5,36,1.0,0.98,1.0,0.72,1.0,1.0,0.0,0.008600171761917567,-0.1307682802690238,0.008600171761917567,0.008600171761917567
50,5,37,1.0,1.0,1.0,0.68,0.96,1.0,0.008600171761917567,0.008600171761917567,-0.1549019599857431,-0.00877392430750515,0.008600171761917567
50,5,38,1.0,1.0,1.0,0.72,1.0,1.0,0.008600171761917567,0.008600171761917567,-0.1307682802690238,0.008600171761917567,0.008600171761917567
50,5,39,1.0,1.0,1.0,0.7,0.94,1.0,0.008600171761917567,0.008600171761917567,-0.14266750356873154,-0.017728766960431602,0.008600171761917567
50,5,40,1.0,1.0,1.0,0.64,0.96,1.0,0.008600171761917567,0.008600171761917567,-0.18045606445813128,-0.00877392430750515,0.008600171761917567
