popsize,genenumber,generationnumber,diversity,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
300,5,0,0.9966666666666667,0.76,0.6433333333333333,0.62,0.5866666666666667,0.6433333333333333,-0.11728577237977446,-0.18931952478943642,-0.20527964818316347,-0.22914798835785583,-0.18931952478943642
300,5,1,0.9966666666666667,0.7766666666666666,0.7,0.6366666666666667,0.62,0.65,-0.10790539730951963,-0.1528387994219698,-0.19382002601611278,-0.20527964818316347,-0.18486518336318636
300,5,2,0.9966666666666667,0.8733333333333333,0.72,0.7366666666666667,0.6366666666666667,0.7466666666666667,-0.05716550622990459,-0.14066152087113296,-0.1307682802690238,-0.19382002601611278,-0.12493873660829993
300,5,3,0.9966666666666667,0.91,0.78,0.79,0.6933333333333334,0.7766666666666666,-0.039370691899274474,-0.10605339244792615,-0.10054429766315048,-0.15697496860860843,-0.10790539730951963
300,5,4,0.9966666666666667,0.91,0.8233333333333334,0.8366666666666667,0.7,0.8133333333333334,-0.039370691899274474,-0.08266957389344617,-0.07572071393811836,-0.1528387994219698,-0.08795517035512997
300,5,5,0.9966666666666667,0.92,0.84,0.86,0.78,0.85,-0.034641485655213876,-0.07400073354384455,-0.06382149063841062,-0.10605339244792615,-0.0688812894078129
300,5,6,0.9966666666666667,0.96,0.8633333333333333,0.8566666666666667,0.8133333333333334,0.8766666666666667,-0.01622341196311461,-0.06214790674884451,-0.06550154875643228,-0.08795517035512997,-0.05551732784983136
300,5,7,0.9966666666666667,0.95,0.86,0.89,0.7866666666666666,0.83,-0.020755221590619464,-0.06382149063841062,-0.04898646069087362,-0.1023729087095586,-0.07918124604762486
300,5,8,0.9966666666666667,0.96,0.9033333333333333,0.8966666666666666,0.8133333333333334,0.8,-0.01622341196311461,-0.042552350685463744,-0.045757490560675164,-0.08795517035512997,-0.09510421214479405
300,5,9,0.9966666666666667,0.9566666666666667,0.88,0.9,0.8,0.8266666666666667,-0.017728766960431602,-0.053875380782854594,-0.044151963845256714,-0.09510421214479405,-0.0809219076239261
300,5,10,0.9966666666666667,0.9633333333333334,0.8866666666666667,0.9133333333333333,0.8433333333333334,0.8133333333333334,-0.014723256820706345,-0.0506099933550872,-0.0377885608893998,-0.07228753809972437,-0.08795517035512997
300,5,11,0.9966666666666667,0.9733333333333334,0.8666666666666667,0.9066666666666666,0.84,0.8233333333333334,-0.010253634365552973,-0.06048074738138147,-0.04095860767890643,-0.07400073354384455,-0.08266957389344617
300,5,12,0.9966666666666667,0.98,0.8433333333333334,0.9166666666666666,0.8333333333333334,0.7966666666666666,-0.0072992387414994656,-0.07228753809972437,-0.03621217265444476,-0.07744753323862429,-0.09691001300805645
300,5,13,0.9966666666666667,0.9866666666666667,0.8533333333333334,0.92,0.85,0.8166666666666667,-0.004364805402450088,-0.06718813138836789,-0.034641485655213876,-0.0688812894078129,-0.08618614761628333
300,5,14,0.9966666666666667,0.9866666666666667,0.86,0.9166666666666666,0.87,0.8266666666666667,-0.004364805402450088,-0.06382149063841062,-0.03621217265444476,-0.058819963399917,-0.0809219076239261
300,5,15,0.9966666666666667,0.99,0.8833333333333333,0.9333333333333333,0.8133333333333334,0.81,-0.002904990643407222,-0.05223961808859547,-0.028414934814582554,-0.08795517035512997,-0.089731428380933
300,5,16,0.9966666666666667,0.99,0.8866666666666667,0.9433333333333334,0.84,0.82,-0.002904990643407222,-0.0506099933550872,-0.023802914672624763,-0.07400073354384455,-0.08442430145999674
300,5,17,0.9966666666666667,0.9966666666666667,0.9033333333333333,0.9366666666666666,0.8533333333333334,0.8266666666666667,0.0,-0.042552350685463744,-0.026872146400301365,-0.06718813138836789,-0.0809219076239261
300,5,18,0.9966666666666667,0.99,0.92,0.9366666666666666,0.8866666666666667,0.8433333333333334,-0.002904990643407222,-0.034641485655213876,-0.026872146400301365,-0.0506099933550872,-0.07228753809972437
300,5,19,0.9966666666666667,1.0,0.9333333333333333,0.9433333333333334,0.8733333333333333,0.81,0.0014452408741809529,-0.028414934814582554,-0.023802914672624763,-0.05716550622990459,-0.089731428380933
300,5,20,0.9966666666666667,0.9933333333333333,0.9433333333333334,0.9266666666666666,0.8566666666666667,0.8,-0.0014500663952328225,-0.023802914672624763,-0.03151705144606491,-0.06550154875643228,-0.09510421214479405
300,5,21,0.9966666666666667,1.0,0.9533333333333334,0.9366666666666666,0.81,0.8,0.0014452408741809529,-0.01923935798567011,-0.026872146400301365,-0.089731428380933,-0.09510421214479405
300,5,22,0.9966666666666667,0.9966666666666667,0.97,0.9666666666666667,0.8366666666666667,0.8,0.0,-0.011738403271244171,-0.013228265733755159,-0.07572071393811836,-0.09510421214479405
300,5,23,0.9966666666666667,0.9966666666666667,0.96,0.94,0.86,0.8133333333333334,0.0,-0.01622341196311461,-0.025334819195372237,-0.06382149063841062,-0.08795517035512997
300,5,24,0.9966666666666667,0.9933333333333333,0.9766666666666667,0.9766666666666667,0.87,0.8366666666666667,-0.0014500663952328225,-0.00877392430750515,-0.00877392430750515,-0.058819963399917,-0.07572071393811836
300,5,25,0.9966666666666667,0.9966666666666667,0.9766666666666667,0.9733333333333334,0.8466666666666667,0.8233333333333334,0.0,-0.00877392430750515,-0.010253634365552973,-0.07058107428570727,-0.08266957389344617
300,5,26,0.9966666666666667,1.0,0.97,0.9366666666666666,0.8333333333333334,0.8433333333333334,0.0014452408741809529,-0.011738403271244171,-0.026872146400301365,-0.07744753323862429,-0.07228753809972437
300,5,27,0.9966666666666667,1.0,0.9866666666666667,0.9433333333333334,0.87,0.86,0.0014452408741809529,-0.004364805402450088,-0.023802914672624763,-0.058819963399917,-0.06382149063841062
300,5,28,0.9966666666666667,1.0,0.9766666666666667,0.9566666666666667,0.8433333333333334,0.8666666666666667,0.0014452408741809529,-0.00877392430750515,-0.017728766960431602,-0.07228753809972437,-0.06048074738138147
300,5,29,0.9966666666666667,1.0,0.9866666666666667,0.9566666666666667,0.85,0.87,0.0014452408741809529,-0.004364805402450088,-0.017728766960431602,-0.0688812894078129,-0.058819963399917
