generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
10,102.946666667,12.25,18.6133333333,-31.0466666667,-8.58,56.64,137.8,6.11666666667,-2.92666666667,-3.7,12.8566666667,-8.20666666667,102.436666667,-16.08,22.04,-19.8833333333,9.91333333333,2.08666666667,109.533333333,13.4733333333,3.92333333333,5.34666666667,61.74,23.8133333333,122.073333333,8149.87005574,7356.65635452,6643.78978818,6629.01453735,8198.82635452,8656.40508361,5780.34782609,4841.13350056,4803.08490524,6139.95652174,5023.57470457,3465.19460424,3617.34380156,8206.60896321,7231.57698997,6219.38768116,5262.56102564,7151.24998885,2755.93534002,9465.44075808,6513.1145039,7155.25065775,6332.80173913,6445.51018952,6725.00463768
11,114.266666667,13.8333333333,15.5833333333,-35.25,-7.63333333333,61.1333333333,139.743333333,1.10666666667,-0.88,5.72,15.9133333333,-8.36,101.39,-13.58,27.68,-18.8233333333,10.4166666667,8.17666666667,111.436666667,13.41,3.32,7.20666666667,68.1566666667,26.35,126.463333333,7867.74804905,6540.84169454,6366.04319955,6531.96070234,8240.1393534,8024.27647715,5514.64627648,4133.2193534,4584.92200669,5766.52334448,4796.21319955,3470.25123746,3531.20859532,7392.02367893,5866.9206689,5767.85162765,5354.77898551,8463.31651059,2431.70500557,9996.15575251,6604.69993311,7023.11433668,6800.06567447,6075.81354515,6560.63744705
12,121.863333333,20.07,13.91,-28.5633333333,-9.99666666667,60.25,139.923333333,1.44666666667,-3.40333333333,9.98666666667,17.32,-2.66666666667,97.36,-9.29666666667,27.4466666667,-19.44,5.14666666667,8.78666666667,108.15,10.0633333333,-4.17666666667,3.78666666667,58.77,29.6466666667,117.983333333,7823.2822631,6627.86464883,6547.04538462,7062.44748049,8218.85283166,7505.31187291,5512.37871795,3857.65266444,4496.96386845,5151.76570792,4661.41565217,3231.0657748,3311.89003344,6656.39664437,5580.26136009,4107.11010033,4682.72758082,8488.58978818,2846.22826087,9914.68828317,6448.66768116,7698.77707915,6950.86665552,6722.71754738,6166.19035674
13,118.826666667,18.47,10.05,-31.67,-9.05333333333,52.71,152.806666667,4.81,-2.52333333333,11.25,17.9833333333,-3.71,97.19,-9.62,24.4766666667,-13.4966666667,1.01,12.2833333333,106.333333333,11.8166666667,-5.81333333333,9.87666666667,51.82,32.2933333333,113.97,7244.88624303,6787.22652174,6845.61287625,7146.96431438,8210.15768116,7501.49086957,5476.91232999,3954.1209699,4090.73858417,4385.74665552,4582.61845039,3129.87882943,3350.24137124,6825.4470903,5288.02955407,3818.92641026,4715.38117057,8892.11008919,2579.27313266,9776.24386845,6556.08544036,7608.37604236,6365.33204013,6909.71299889,5764.61113712
14,121.896666667,16.8333333333,0.206666666667,-34.5433333333,-7.62666666667,55.7566666667,154.1,8.50333333333,-3.58666666667,9.21333333333,18.9766666667,-4.48666666667,93.2066666667,-6.35333333333,26.5533333333,-14.79,0.416666666667,14.5133333333,104.29,10.3833333333,-5.59,14.44,45.0233333333,33.6133333333,117.246666667,6859.45751394,6719.58416945,6074.65279822,5831.66701226,7796.783233,7833.17470457,5153.30100334,4029.37457079,4971.53426979,4451.53962096,4557.44761427,3118.3509922,3321.83005574,6014.65734671,5275.4586845,3653.13635452,4809.44788183,8917.2406243,2887.57113712,9977.86928651,6076.36979933,7503.76561873,6061.68172798,6322.89346711,6263.50416945
15,128.526666667,23.85,-4.38666666667,-37.9466666667,-12.17,67.28,162.736666667,4.71,-2.81666666667,14.6833333333,22.9633333333,-4.65666666667,91.3666666667,-8.42,26.9266666667,-17.51,0.99,18.9733333333,99.76,10.5466666667,-4.22666666667,17.7166666667,44.4433333333,37.25,120.733333333,7204.57119287,6950.06772575,5818.09079153,5501.68945373,7915.80712375,6748.69056856,5465.47891862,3781.3035786,4918.83918618,3966.35089186,5092.82473802,2919.15597547,3232.78149387,6493.87652174,5073.69360089,3406.12364548,4932.07682274,8823.14978818,2727.11946488,9756.46269788,5966.4367447,6352.80574136,5467.19075808,6379.01755853,6457.52731327
16,127.18,29.4833333333,-3.54333333333,-40.9866666667,-12.84,73.6666666667,163.07,3.51666666667,-5.03333333333,16.7566666667,23.2166666667,-3.04666666667,95.6133333333,-12.8433333333,36.0066666667,-19.5066666667,4.09666666667,17.3233333333,100.91,12.05,-9.33,26.0033333333,38.78,46.3866666667,120.016666667,7405.57284281,7060.17697882,5623.86768116,5865.33092531,8210.58301003,6572.29654404,5083.9783612,3961.3074136,5420.61426979,3979.66968785,4568.68534002,3051.38243032,3581.96370123,7266.31985507,4355.50497213,3307.92972129,5006.95049052,8405.99209588,2486.97180602,9408.16137124,6098.86397993,6851.97657748,5467.20227425,7563.58243032,6013.1803233
17,130.15,33.7466666667,-1.41333333333,-43.2466666667,-20.6333333333,65.7333333333,162.92,9.08666666667,-9.72666666667,10.52,21.9366666667,-7.23333333333,98.34,-11.85,39.4266666667,-20.2033333333,3.14666666667,14.1633333333,102.98,6.16,-10.6566666667,24.1166666667,46.0766666667,47.21,125.163333333,8302.63628763,7520.21654404,5889.73493868,5999.73828317,8679.32998885,7268.15607581,4995.68588629,4906.06604236,5578.23273133,4568.17016722,4246.29363434,2840.2664437,3884.51277592,7285.73327759,3701.58992196,3090.86487179,5203.28276477,8262.83276477,2648.07317726,9271.37230769,6374.51383501,7172.27731327,5786.86701226,8010.33367893,6193.04012263
18,131.546666667,22.7766666667,-2.1,-47.7666666667,-14.7866666667,61.0433333333,167.266666667,9.91,-3.80333333333,9.92,17.5433333333,-8.00666666667,99.8966666667,-14.22,46.2733333333,-15.2833333333,-0.0666666666667,12.8466666667,106.87,9.92,-7.84333333333,27.69,42.58,46.4566666667,125.36,7639.97440357,7017.63891862,5415.80936455,4765.08918618,7893.76704571,7819.09176143,5195.09921962,4745.0119398,5394.92774805,4669.45846154,3962.54326644,2809.97988852,3963.47089186,7174.99491639,3457.21600892,2660.31744705,5493.74804905,7467.73560758,2491.42451505,8687.19759197,6283.242932,7059.61929766,5605.35478261,8566.99811594,5721.06729097
19,143.09,24.87,-7.95666666667,-48.3233333333,-13.7633333333,57.5366666667,158.853333333,7.09,1.3,11.71,18.9733333333,-9.77666666667,107.8,-14.8166666667,52.1333333333,-14.33,3.15666666667,17.14,103.796666667,17.9533333333,-2.65,21.7066666667,45.2466666667,39.0033333333,129.52,7255.81461538,6518.38103679,4812.42286511,4744.15931996,8230.49564103,9265.02540691,5074.37306577,4732.47682274,5510.49832776,4924.12632107,3518.61467113,2724.20748049,3897.51839465,7527.75557414,3762.4303233,2637.66665552,5387.71784838,7843.0438796,2101.34647715,8538.19179487,6159.72658863,6938.0742029,5504.71487179,8616.60534002,6283.65511706
