popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4,viabilityratioDB0,viabilityratioDB1,viabilityratioDB2,viabilityratioDB3,viabilityratioDB4
100,5,0,0.65,0.61,0.66,0.72,0.55,-0.18045606445813128,-0.2076083105017461,-0.17392519729917352,-0.13667713987954408,-0.25181197299379954
100,5,1,0.65,0.66,0.65,0.7,0.62,-0.18045606445813128,-0.17392519729917352,-0.18045606445813128,-0.14874165128092473,-0.20065945054641826
100,5,2,0.64,0.68,0.72,0.77,0.62,-0.1870866433571444,-0.16115090926274464,-0.13667713987954408,-0.10790539730951958,-0.20065945054641826
100,5,3,0.64,0.71,0.73,0.69,0.72,-0.1870866433571444,-0.14266750356873154,-0.1307682802690238,-0.1549019599857432,-0.13667713987954408
100,5,4,0.66,0.79,0.71,0.8,0.74,-0.17392519729917352,-0.09691001300805638,-0.14266750356873154,-0.09151498112135022,-0.12493873660829993
100,5,5,0.69,0.83,0.7,0.88,0.69,-0.1549019599857432,-0.07572071393811836,-0.14874165128092473,-0.0506099933550872,-0.1549019599857432
100,5,6,0.76,0.88,0.77,0.93,0.7,-0.11350927482751812,-0.0506099933550872,-0.10790539730951958,-0.026872146400301312,-0.14874165128092473
100,5,7,0.81,0.88,0.77,0.95,0.73,-0.08618614761628327,-0.0506099933550872,-0.10790539730951958,-0.017728766960431602,-0.1307682802690238
100,5,8,0.84,0.82,0.84,0.9,0.74,-0.07058107428570727,-0.0809219076239261,-0.07058107428570727,-0.040958607678906384,-0.12493873660829993
100,5,9,0.8,0.85,0.86,0.89,0.81,-0.09151498112135022,-0.06550154875643228,-0.06048074738138147,-0.045757490560675115,-0.08618614761628327
100,5,10,0.84,0.85,0.82,0.9,0.81,-0.07058107428570727,-0.06550154875643228,-0.0809219076239261,-0.040958607678906384,-0.08618614761628327
100,5,11,0.82,0.84,0.85,0.87,0.75,-0.0809219076239261,-0.07058107428570727,-0.06550154875643228,-0.05551732784983136,-0.11918640771920865
100,5,12,0.86,0.87,0.86,0.86,0.79,-0.06048074738138147,-0.05551732784983136,-0.06048074738138147,-0.06048074738138147,-0.09691001300805638
100,5,13,0.85,0.85,0.84,0.86,0.82,-0.06550154875643228,-0.06550154875643228,-0.07058107428570727,-0.06048074738138147,-0.0809219076239261
100,5,14,0.82,0.82,0.85,0.85,0.84,-0.0809219076239261,-0.0809219076239261,-0.06550154875643228,-0.06550154875643228,-0.07058107428570727
100,5,15,0.77,0.88,0.86,0.88,0.83,-0.10790539730951958,-0.0506099933550872,-0.06048074738138147,-0.0506099933550872,-0.07572071393811836
100,5,16,0.82,0.88,0.92,0.88,0.87,-0.0809219076239261,-0.0506099933550872,-0.031517051446064856,-0.0506099933550872,-0.05551732784983136
100,5,17,0.78,0.9,0.82,0.81,0.88,-0.10237290870955855,-0.040958607678906384,-0.0809219076239261,-0.08618614761628327,-0.0506099933550872
100,5,18,0.77,0.9,0.81,0.78,0.87,-0.10790539730951958,-0.040958607678906384,-0.08618614761628327,-0.10237290870955855,-0.05551732784983136
100,5,19,0.75,0.89,0.83,0.79,0.81,-0.11918640771920865,-0.045757490560675115,-0.07572071393811836,-0.09691001300805638,-0.08618614761628327
100,5,20,0.78,0.87,0.91,0.8,0.86,-0.10237290870955855,-0.05551732784983136,-0.03621217265444471,-0.09151498112135022,-0.06048074738138147
100,5,21,0.83,0.9,0.87,0.81,0.76,-0.07572071393811836,-0.040958607678906384,-0.05551732784983136,-0.08618614761628327,-0.11350927482751812
100,5,22,0.79,0.91,0.86,0.87,0.8,-0.09691001300805638,-0.03621217265444471,-0.06048074738138147,-0.05551732784983136,-0.09151498112135022
100,5,23,0.83,0.9,0.88,0.86,0.84,-0.07572071393811836,-0.040958607678906384,-0.0506099933550872,-0.06048074738138147,-0.07058107428570727
100,5,24,0.82,0.87,0.89,0.85,0.86,-0.0809219076239261,-0.05551732784983136,-0.045757490560675115,-0.06550154875643228,-0.06048074738138147
100,5,25,0.81,0.86,0.85,0.83,0.83,-0.08618614761628327,-0.06048074738138147,-0.06550154875643228,-0.07572071393811836,-0.07572071393811836
100,5,26,0.79,0.86,0.9,0.88,0.8,-0.09691001300805638,-0.06048074738138147,-0.040958607678906384,-0.0506099933550872,-0.09151498112135022
100,5,27,0.76,0.82,0.9,0.85,0.84,-0.11350927482751812,-0.0809219076239261,-0.040958607678906384,-0.06550154875643228,-0.07058107428570727
100,5,28,0.87,0.88,0.94,0.83,0.9,-0.05551732784983136,-0.0506099933550872,-0.02227639471115225,-0.07572071393811836,-0.040958607678906384
100,5,29,0.9,0.92,0.94,0.87,0.88,-0.040958607678906384,-0.031517051446064856,-0.02227639471115225,-0.05551732784983136,-0.0506099933550872
100,5,30,0.89,0.95,0.92,0.86,0.85,-0.045757490560675115,-0.017728766960431602,-0.031517051446064856,-0.06048074738138147,-0.06550154875643228
100,5,31,0.89,0.98,0.93,0.9,0.93,-0.045757490560675115,-0.004364805402450088,-0.026872146400301312,-0.040958607678906384,-0.026872146400301312
100,5,32,0.92,0.99,0.93,0.91,0.92,-0.031517051446064856,0.0,-0.026872146400301312,-0.03621217265444471,-0.031517051446064856
100,5,33,0.97,0.99,0.93,0.94,0.91,-0.00877392430750515,0.0,-0.026872146400301312,-0.02227639471115225,-0.03621217265444471
100,5,34,0.97,0.99,0.93,0.93,0.91,-0.00877392430750515,0.0,-0.026872146400301312,-0.026872146400301312,-0.03621217265444471
100,5,35,0.98,0.99,0.93,0.91,0.9,-0.004364805402450088,0.0,-0.026872146400301312,-0.03621217265444471,-0.040958607678906384
100,5,36,0.97,1.0,0.93,0.91,0.91,-0.00877392430750515,0.004321373782642578,-0.026872146400301312,-0.03621217265444471,-0.03621217265444471
100,5,37,0.97,0.99,0.93,0.9,0.88,-0.00877392430750515,0.0,-0.026872146400301312,-0.040958607678906384,-0.0506099933550872
100,5,38,0.94,0.99,0.89,0.88,0.8,-0.02227639471115225,0.0,-0.045757490560675115,-0.0506099933550872,-0.09151498112135022
100,5,39,0.97,1.0,0.9,0.93,0.76,-0.00877392430750515,0.004321373782642578,-0.040958607678906384,-0.026872146400301312,-0.11350927482751812
100,5,40,0.94,0.99,0.86,0.95,0.71,-0.02227639471115225,0.0,-0.06048074738138147,-0.017728766960431602,-0.14266750356873154
100,5,41,0.92,0.99,0.89,0.9,0.79,-0.031517051446064856,0.0,-0.045757490560675115,-0.040958607678906384,-0.09691001300805638
100,5,42,0.91,0.99,0.98,0.9,0.89,-0.03621217265444471,0.0,-0.004364805402450088,-0.040958607678906384,-0.045757490560675115
100,5,43,0.94,0.99,0.98,0.93,0.87,-0.02227639471115225,0.0,-0.004364805402450088,-0.026872146400301312,-0.05551732784983136
100,5,44,0.93,1.0,0.99,0.94,0.94,-0.026872146400301312,0.004321373782642578,0.0,-0.02227639471115225,-0.02227639471115225
100,5,45,0.93,1.0,1.0,0.96,0.97,-0.026872146400301312,0.004321373782642578,0.004321373782642578,-0.013228265733755159,-0.00877392430750515
100,5,46,0.91,1.0,1.0,0.96,0.96,-0.03621217265444471,0.004321373782642578,0.004321373782642578,-0.013228265733755159,-0.013228265733755159
100,5,47,0.97,1.0,1.0,0.95,0.92,-0.00877392430750515,0.004321373782642578,0.004321373782642578,-0.017728766960431602,-0.031517051446064856
100,5,48,0.92,1.0,1.0,0.91,0.97,-0.031517051446064856,0.004321373782642578,0.004321373782642578,-0.03621217265444471,-0.00877392430750515
100,5,49,0.98,1.0,1.0,0.97,0.97,-0.004364805402450088,0.004321373782642578,0.004321373782642578,-0.00877392430750515,-0.00877392430750515
100,5,50,0.96,1.0,0.99,0.92,0.98,-0.013228265733755159,0.004321373782642578,0.0,-0.031517051446064856,-0.004364805402450088
100,5,51,0.92,1.0,1.0,0.93,0.96,-0.031517051446064856,0.004321373782642578,0.004321373782642578,-0.026872146400301312,-0.013228265733755159
100,5,52,0.89,1.0,1.0,0.93,0.99,-0.045757490560675115,0.004321373782642578,0.004321373782642578,-0.026872146400301312,0.0
100,5,53,0.88,1.0,1.0,0.91,0.97,-0.0506099933550872,0.004321373782642578,0.004321373782642578,-0.03621217265444471,-0.00877392430750515
100,5,54,0.89,1.0,1.0,0.94,0.99,-0.045757490560675115,0.004321373782642578,0.004321373782642578,-0.02227639471115225,0.0
100,5,55,0.89,1.0,0.99,0.98,0.98,-0.045757490560675115,0.004321373782642578,0.0,-0.004364805402450088,-0.004364805402450088
100,5,56,0.86,1.0,1.0,0.98,0.96,-0.06048074738138147,0.004321373782642578,0.004321373782642578,-0.004364805402450088,-0.013228265733755159
100,5,57,0.86,1.0,1.0,0.95,0.99,-0.06048074738138147,0.004321373782642578,0.004321373782642578,-0.017728766960431602,0.0
100,5,58,0.82,1.0,1.0,0.93,0.99,-0.0809219076239261,0.004321373782642578,0.004321373782642578,-0.026872146400301312,0.0
100,5,59,0.87,1.0,1.0,0.96,0.98,-0.05551732784983136,0.004321373782642578,0.004321373782642578,-0.013228265733755159,-0.004364805402450088
100,5,60,0.87,1.0,1.0,0.98,0.97,-0.05551732784983136,0.004321373782642578,0.004321373782642578,-0.004364805402450088,-0.00877392430750515
100,5,61,0.86,1.0,1.0,0.98,0.98,-0.06048074738138147,0.004321373782642578,0.004321373782642578,-0.004364805402450088,-0.004364805402450088
100,5,62,0.83,1.0,1.0,0.97,0.96,-0.07572071393811836,0.004321373782642578,0.004321373782642578,-0.00877392430750515,-0.013228265733755159
100,5,63,0.9,1.0,0.98,0.94,0.95,-0.040958607678906384,0.004321373782642578,-0.004364805402450088,-0.02227639471115225,-0.017728766960431602
100,5,64,0.89,1.0,1.0,0.92,0.97,-0.045757490560675115,0.004321373782642578,0.004321373782642578,-0.031517051446064856,-0.00877392430750515
100,5,65,0.87,1.0,1.0,0.94,0.97,-0.05551732784983136,0.004321373782642578,0.004321373782642578,-0.02227639471115225,-0.00877392430750515
100,5,66,0.91,1.0,1.0,0.91,0.93,-0.03621217265444471,0.004321373782642578,0.004321373782642578,-0.03621217265444471,-0.026872146400301312
100,5,67,0.95,1.0,1.0,0.9,0.96,-0.017728766960431602,0.004321373782642578,0.004321373782642578,-0.040958607678906384,-0.013228265733755159
100,5,68,0.93,1.0,0.99,0.93,0.92,-0.026872146400301312,0.004321373782642578,0.0,-0.026872146400301312,-0.031517051446064856
100,5,69,0.94,1.0,0.99,0.88,0.88,-0.02227639471115225,0.004321373782642578,0.0,-0.0506099933550872,-0.0506099933550872
100,5,70,0.9,1.0,0.99,0.85,0.91,-0.040958607678906384,0.004321373782642578,0.0,-0.06550154875643228,-0.03621217265444471
100,5,71,0.95,1.0,1.0,0.87,0.92,-0.017728766960431602,0.004321373782642578,0.004321373782642578,-0.05551732784983136,-0.031517051446064856
100,5,72,0.92,1.0,0.99,0.9,0.93,-0.031517051446064856,0.004321373782642578,0.0,-0.040958607678906384,-0.026872146400301312
100,5,73,0.94,1.0,0.99,0.83,0.94,-0.02227639471115225,0.004321373782642578,0.0,-0.07572071393811836,-0.02227639471115225
100,5,74,0.94,1.0,0.95,0.86,0.92,-0.02227639471115225,0.004321373782642578,-0.017728766960431602,-0.06048074738138147,-0.031517051446064856
100,5,75,0.94,1.0,0.95,0.88,0.94,-0.02227639471115225,0.004321373782642578,-0.017728766960431602,-0.0506099933550872,-0.02227639471115225
100,5,76,0.94,1.0,0.95,0.88,0.93,-0.02227639471115225,0.004321373782642578,-0.017728766960431602,-0.0506099933550872,-0.026872146400301312
100,5,77,0.94,1.0,1.0,0.88,0.97,-0.02227639471115225,0.004321373782642578,0.004321373782642578,-0.0506099933550872,-0.00877392430750515
100,5,78,0.94,1.0,0.98,0.87,0.99,-0.02227639471115225,0.004321373782642578,-0.004364805402450088,-0.05551732784983136,0.0
100,5,79,0.95,1.0,1.0,0.86,1.0,-0.017728766960431602,0.004321373782642578,0.004321373782642578,-0.06048074738138147,0.004321373782642578
100,5,80,0.96,1.0,1.0,0.92,0.98,-0.013228265733755159,0.004321373782642578,0.004321373782642578,-0.031517051446064856,-0.004364805402450088
100,5,81,0.92,1.0,0.98,0.87,0.99,-0.031517051446064856,0.004321373782642578,-0.004364805402450088,-0.05551732784983136,0.0
100,5,82,0.95,1.0,1.0,0.91,0.98,-0.017728766960431602,0.004321373782642578,0.004321373782642578,-0.03621217265444471,-0.004364805402450088
100,5,83,0.94,1.0,0.97,0.89,0.99,-0.02227639471115225,0.004321373782642578,-0.00877392430750515,-0.045757490560675115,0.0
100,5,84,0.97,1.0,0.94,0.89,0.99,-0.00877392430750515,0.004321373782642578,-0.02227639471115225,-0.045757490560675115,0.0
